caseid,centre,bvisaL_cluster_connected_triangles,bvisaL_triangl_per_clust,bvisaL_srf_are_per_clust,bvisaL_total_srf_area,bvisaL_is_self_intersecting,bvisaL_is_watertight,bvisaL_is_edge_manifold,bvisaL_is_vertex_manifold,bvisaL_total_volume,bvisaL_holes_filled_volume,bvisaR_cluster_connected_triangles,bvisaR_triangl_per_clust,bvisaR_srf_are_per_clust,bvisaR_total_srf_area,bvisaR_is_self_intersecting,bvisaR_is_watertight,bvisaR_is_edge_manifold,bvisaR_is_vertex_manifold,bvisaR_total_volume,bvisaR_holes_filled_volume,LCS_lebel2inters,RCS_lebel2inters
sub-via488,CFIN,3686,[3686],[2821.46258835],2821.462588349391,False,True,True,True,996.263204335457,996.2632043354515,3970,[3970],[3014.19919331],3014.1991933141444,True,False,True,True,-1.0,-1.0,"{3: 711, 24: 714, 165: 39}","{24: 881, 42: 659, 165: 61, 258: 1}"
sub-via160,CFIN,4426,[4426],[3284.69629738],3284.696297382412,False,True,True,True,1210.1574752706256,1210.1574752706301,4656,[4656],[3490.90555094],3490.9055509436594,False,True,True,True,1285.209685893038,1285.2096858930408,"{3: 487, 24: 1246, 165: 23}","{24: 1429, 42: 439, 165: 10}"
sub-via317,CFIN,4948,[4948],[3754.5273551],3754.5273551014166,False,True,True,True,1360.2675401274892,1360.2675401274792,4240,[4240],[3242.69697251],3242.6969725061044,True,False,True,True,-1.0,-1.0,"{3: 323, 24: 1571, 165: 90, 258: 2}","{24: 1455, 42: 277, 165: 105, 258: 3}"
sub-via085,CFIN,3688,[3688],[2743.47043798],2743.470437975973,False,True,True,True,1000.2177608504189,1000.2177608504171,3658,[3658],[2760.47495673],2760.474956734553,False,True,True,True,1018.382218637709,1018.3822186377079,"{3: 449, 24: 927, 165: 104, 258: 5}","{24: 1015, 42: 407, 165: 72}"
sub-via254,CFIN,5062,[5062],[3920.58625665],3920.586256654384,False,True,True,True,1412.8438121287882,1412.843812128789,4998,[4998],[3812.53094509],3812.530945093021,False,True,True,True,1353.280622552681,1353.2806225526792,"{3: 640, 24: 1305, 165: 117, 258: 17}","{24: 1568, 42: 374, 165: 101, 258: 1}"
sub-via054,CFIN,4092,[4092],[3082.64100667],3082.6410066679578,False,True,True,True,1112.991184756207,1112.991184756209,4144,[4144],[3113.30096108],3113.3009610798867,False,True,True,True,1141.1333668108969,1141.1333668108982,"{3: 711, 24: 905, 165: 44, 258: 4}","{24: 875, 42: 750, 165: 53, 258: 12}"
sub-via298,CFIN,4958,[4958],[3727.66688256],3727.6668825576885,False,True,True,True,1364.158213681444,1364.158213681445,5746,[5746],[4364.27117243],4364.27117243262,False,True,True,True,1595.5004147685406,1595.5004147685386,"{3: 537, 24: 1402, 165: 41}","{24: 1639, 42: 553, 165: 113}"
sub-via328,CFIN,4540,[4540],[3336.50812023],3336.508120234971,False,True,True,True,1256.2826461667082,1256.28264616671,4506,[4506],[3300.33631182],3300.3363118157245,False,True,True,True,1235.6921327465823,1235.6921327465816,"{3: 550, 24: 1239, 165: 27}","{24: 1305, 42: 397, 165: 83, 258: 1}"
sub-via362,CFIN,3696,[3696],[2766.70758319],2766.707583191863,False,True,True,True,998.1036804289822,998.1036804289815,3868,[3868],[2892.54151195],2892.541511951906,False,True,True,True,1043.9760595861571,1043.9760595861612,"{3: 536, 24: 706, 165: 208, 258: 25}","{24: 893, 42: 567, 165: 100}"
sub-via399,CFIN,5532,[5532],[4187.03200974],4187.032009735124,False,True,True,True,1544.4142626870353,1544.4142626870416,5076,[5076],[3846.56896769],3846.568967688869,False,True,True,True,1392.5082180884617,1392.5082180884629,"{3: 948, 24: 1291, 165: 27}","{24: 1077, 42: 850, 165: 112, 258: 1}"
sub-via423,CFIN,5594,[5594],[4205.54275654],4205.542756536848,False,True,True,True,1522.2152043562555,1522.2152043562546,4994,[4994],[3644.64033794],3644.640337943122,False,True,True,True,1341.5139566878684,1341.513956687866,"{3: 634, 24: 1433, 165: 124, 258: 38}","{24: 1211, 41: 2, 42: 657, 165: 116}"
sub-via209,CFIN,4414,[4414],[3308.77192758],3308.7719275759614,False,True,True,True,1192.69371012387,1192.693710123869,4716,[4716],[3576.80778112],3576.807781118695,False,True,True,True,1294.9623795901425,1294.962379590147,"{3: 688, 24: 1018, 165: 60, 258: 1}","{24: 1252, 42: 559, 165: 72}"
sub-via224,CFIN,4958,[4958],[3666.49363012],3666.493630116991,False,True,True,True,1308.7136858454105,1308.7136858454141,4116,[4116],[3149.09959577],3149.0995957669747,False,True,True,True,1127.1576442472497,1127.1576442472474,"{3: 565, 24: 1144, 165: 181, 258: 9}","{24: 1092, 42: 462, 165: 101}"
sub-via275,CFIN,5052,[5052],[3815.14510368],3815.1451036845106,True,False,True,True,-1.0,-1.0,4986,[4986],[3677.0697899],3677.0697899049137,False,True,True,True,1341.7715449810748,1341.7715449810798,"{3: 879, 24: 1020, 165: 94}","{24: 876, 41: 7, 42: 1019, 165: 68}"
sub-via309,CFIN,4446,[4446],[3284.41347868],3284.4134786772124,False,True,True,True,1210.3573392622257,1210.3573392622347,4374,[4374],[3281.91608929],3281.916089285978,False,True,True,True,1217.7776244173733,1217.7776244173704,"{3: 444, 24: 1253, 165: 104, 258: 5}","{24: 1188, 42: 484, 165: 91, 258: 1}"
sub-via228,CFIN,4860,[4860],[3573.58553956],3573.5855395600506,False,True,True,True,1290.61279352172,1290.6127935217219,3856,[3856],[2985.52410957],2985.5241095718266,False,True,True,True,1084.7452608762246,1084.745260876225,"{3: 671, 24: 1160, 165: 63, 258: 14}","{24: 993, 42: 457, 165: 107, 258: 27}"
sub-via279,CFIN,4370,[4370],[3176.31552065],3176.31552064688,False,True,True,True,1147.747773963746,1147.747773963748,4694,[4694],[3546.08839144],3546.0883914436,False,True,True,True,1326.2229745203122,1326.222974520314,"{3: 285, 24: 1350, 165: 42}","{24: 1512, 42: 283, 165: 143, 258: 1}"
sub-via311,CFIN,2938,[2938],[2173.34470772],2173.3447077196347,False,True,True,True,781.4734612448483,781.4734612448497,4866,[4866],[3275.25557807],3275.2555780741154,True,False,True,True,-1.0,-1.0,"{2: 14, 3: 764, 24: 714, 165: 146, 258: 43}","{24: 1152, 41: 2, 42: 1021, 165: 534, 258: 379}"
sub-via455,CFIN,4496,[4496],[3343.12150512],3343.1215051216764,False,True,True,True,1204.0290490924162,1204.0290490924172,4304,[4304],[3269.99749708],3269.9974970789444,False,True,True,True,1203.015291300385,1203.0152913003872,"{3: 716, 24: 1034, 165: 1}","{24: 1360, 41: 1, 42: 401, 165: 12}"
sub-via340,CFIN,5350,[5350],[4002.00701698],4002.0070169761952,False,True,True,True,1405.1701253601836,1405.170125360184,4410,[4410],[3269.8280084],3269.8280084046382,False,True,True,True,1172.2181386155858,1172.2181386155876,"{3: 587, 24: 1450, 165: 40}","{24: 1307, 42: 380, 165: 29}"
sub-via380,CFIN,4522,[4522],[3350.39316996],3350.3931699626146,False,True,True,True,1225.0478547948387,1225.0478547948278,4410,[4410],[3315.61420941],3315.6142094063293,False,True,True,True,1228.8280570844308,1228.8280570844304,"{3: 447, 24: 1286, 165: 92}","{24: 1363, 42: 367, 165: 69}"
sub-via440,CFIN,4862,[4862],[3624.16339518],3624.1633951755102,False,True,True,True,1312.3813945027105,1312.3813945027132,4728,[4728],[3511.78042756],3511.7804275595827,True,False,True,True,-1.0,-1.0,"{2: 2, 3: 866, 24: 875, 165: 181, 258: 2}","{24: 851, 41: 1, 42: 822, 165: 192, 258: 30}"
sub-via467,CFIN,5232,[5232],[3904.44025953],3904.440259527737,True,False,True,True,-1.0,-1.0,4722,[4722],[3534.37858972],3534.378589721508,False,True,True,True,1235.2646058217995,1235.2646058218038,"{3: 880, 24: 1121, 165: 125, 258: 27}","{24: 1186, 42: 519, 165: 101, 258: 20}"
sub-via522,CFIN,4854,[4854],[3638.21307511],3638.2130751144955,False,True,True,True,1352.6503381486928,1352.6503381486882,4380,[4380],[3291.65827948],3291.65827947617,False,True,True,True,1240.7679708270512,1240.7679708270575,"{3: 295, 24: 1589, 165: 91}","{24: 1409, 42: 512, 165: 51}"
