caseid,centre,bvisaL_cluster_connected_triangles,bvisaL_triangl_per_clust,bvisaL_srf_are_per_clust,bvisaL_total_srf_area,bvisaL_is_self_intersecting,bvisaL_is_watertight,bvisaL_is_edge_manifold,bvisaL_is_vertex_manifold,bvisaL_total_volume,bvisaL_holes_filled_volume,bvisaR_cluster_connected_triangles,bvisaR_triangl_per_clust,bvisaR_srf_are_per_clust,bvisaR_total_srf_area,bvisaR_is_self_intersecting,bvisaR_is_watertight,bvisaR_is_edge_manifold,bvisaR_is_vertex_manifold,bvisaR_total_volume,bvisaR_holes_filled_volume
sub-via378,CFIN,4278,[4278],[3266.78524032],3266.785240318702,False,True,True,True,1190.9780868547568,1190.9780868547614,4418,[4418],[3309.93229769],3309.9322976941125,False,True,True,True,1207.254113121192,1207.2541131211917
sub-via459,CFIN,4440,[4440],[3344.22570602],3344.225706022678,False,True,True,True,1211.2903054777535,1211.2903054777498,4362,[4362],[3289.01712404],3289.017124036762,False,True,True,True,1200.6508994565754,1200.6508994565784
sub-via517,CFIN,4946,[4946],[3634.08783765],3634.0878376479027,False,True,True,True,1306.6494263284094,1306.6494263284021,5116,[5116],[3801.52884694],3801.528846939392,False,True,True,True,1386.1247488001363,1386.124748800139
sub-via336,CFIN,3922,[3922],[2960.54015558],2960.5401555785584,False,True,True,True,1065.7451754137937,1065.7451754137846,3962,[3962],[3020.48274331],3020.4827433088935,False,True,True,True,1099.9766515385772,1099.9766515385745
sub-via104,CFIN,4644,[4644],[3465.32480673],3465.3248067331147,False,True,True,True,1255.7236153439835,1255.7236153439817,4778,[4778],[3564.74715009],3564.747150090697,False,True,True,True,1294.3235911227466,1294.3235911227475
sub-via126,CFIN,6192,[6192],[4650.7136128],4650.713612799021,False,True,True,True,1726.7615888937253,1726.7615888937235,5578,[5578],[4232.95952005],4232.959520048355,False,True,True,True,1584.096655071744,1584.0966550717499
sub-via287,CFIN,3740,[3740],[2826.72072397],2826.7207239720947,False,True,True,True,1036.6676507585198,1036.6676507585216,3790,[3790],[2839.38019006],2839.380190063346,False,True,True,True,1038.238153918625,1038.238153918628
sub-via231,CFIN,5668,[5668],[4246.31544155],4246.315441549945,False,True,True,True,1568.0567407226217,1568.056740722618,5160,[5160],[3954.00174848],3954.0017484848286,False,True,True,True,1444.6093813009165,1444.609381300912
sub-via348,CFIN,5126,[5126],[3838.59152475],3838.5915247541134,False,True,True,True,1433.3010342818607,1433.3010342818598,4600,[4600],[3493.71884009],3493.718840092249,False,True,True,True,1281.428291398347,1281.4282913983434
sub-via389,CFIN,5176,[5176],[3743.67436079],3743.6743607941858,False,True,True,True,1372.7784279241241,1372.7784279241187,4454,[4454],[3363.83313796],3363.8331379584733,False,True,True,True,1227.8308786384005,1227.830878638397
