caseid,centre,lCS_junctions,rCS_junctions
sub-via052,CFIN,"{1: 3, 6: 2}","{1: 2, 2: 3, 4: 4}"
sub-via015,CFIN,"{1: 3, 3: 3, 4: 2}","{1: 2, 3: 3, 4: 2, 6: 2}"
sub-via014,CFIN,"{1: 2, 2: 2, 4: 2, 7: 2}","{2: 2, 3: 6, 5: 3, 6: 3, 7: 2, 8: 3}"
sub-via451,CFIN,"{3: 4, 4: 2}",{}
sub-via396,CFIN,"{4: 4, 5: 6, 7: 3, 9: 2}",{}
sub-via422,CFIN,"{4: 4, 5: 6, 6: 2}","{1: 2, 2: 5, 3: 6}"
sub-via519,CFIN,"{1: 6, 3: 3, 4: 8}","{1: 5, 2: 2}"
sub-via235,CFIN,"{3: 3, 5: 2, 6: 3}",{2: 2}
sub-via289,CFIN,"{3: 5, 5: 2}","{2: 3, 3: 2, 4: 2}"
sub-via351,CFIN,"{5: 3, 8: 2}","{1: 2, 3: 5, 4: 2}"
sub-via319,CFIN,"{3: 2, 4: 5, 5: 2}","{1: 3, 2: 3}"
sub-via390,CFIN,"{2: 3, 6: 5, 7: 2}","{1: 2, 3: 2, 4: 2, 5: 2, 6: 2, 7: 2, 8: 4}"
sub-via483,CFIN,"{1: 7, 2: 3, 6: 2}","{1: 2, 3: 5, 4: 3, 5: 2, 6: 3, 8: 8, 9: 2}"
sub-via114,CFIN,"{6: 2, 7: 2}","{2: 3, 4: 3, 5: 3, 7: 3, 8: 5}"
sub-via151,CFIN,"{4: 2, 5: 2, 6: 2, 7: 2}","{3: 2, 5: 2}"
sub-via053,CFIN,"{2: 3, 3: 5, 5: 4}",{4: 2}
sub-via208,CFIN,"{3: 3, 4: 4, 9: 4}",{2: 2}
sub-via220,CFIN,"{1: 2, 2: 3, 6: 2, 7: 3}","{2: 2, 5: 2}"
sub-via274,CFIN,"{1: 9, 3: 3, 4: 3, 5: 4, 8: 2, 9: 3, 10: 2, 11: 3, 16: 2}","{2: 2, 4: 2, 5: 3, 7: 3, 9: 4, 10: 2}"
sub-via305,CFIN,"{1: 3, 4: 3}","{1: 3, 3: 6}"
sub-via337,CFIN,"{1: 3, 2: 2, 3: 2}",{2: 4}
sub-via375,CFIN,"{1: 5, 2: 2, 3: 4, 5: 5, 6: 4, 7: 2, 9: 2, 10: 3, 11: 2, 13: 3}","{2: 2, 7: 4, 10: 2, 12: 2, 14: 2, 15: 2, 16: 3, 19: 3, 24: 2}"
sub-via435,CFIN,{1: 2},{}
sub-via443,CFIN,"{4: 2, 5: 2, 6: 2, 9: 2, 12: 3}",{3: 2}
sub-via356,CFIN,"{7: 3, 8: 6, 9: 2, 10: 2, 11: 2}","{3: 3, 4: 4, 8: 2, 9: 3}"
sub-via392,CFIN,"{2: 6, 5: 2, 6: 5, 8: 5, 10: 2, 11: 3}","{2: 13, 3: 2, 4: 3}"
sub-via446,CFIN,"{1: 4, 2: 4, 3: 2}","{2: 2, 3: 3, 4: 4}"
sub-via253,CFIN,"{1: 2, 3: 7, 4: 3, 6: 3}","{2: 5, 4: 5}"
sub-via486,CFIN,"{2: 2, 3: 9, 6: 4}","{1: 2, 3: 2, 5: 4}"
sub-via297,CFIN,"{1: 3, 4: 3}",{6: 2}
sub-via326,CFIN,"{1: 2, 5: 2}","{1: 4, 3: 2, 5: 3, 6: 2}"
sub-via173,CFIN,"{1: 2, 2: 5, 3: 2, 4: 2}",{1: 3}
sub-via206,CFIN,"{1: 4, 2: 4, 4: 2, 5: 5}","{3: 2, 7: 4, 8: 2, 11: 8}"
sub-via214,CFIN,"{3: 3, 4: 5}",{3: 3}
sub-via269,CFIN,"{1: 6, 2: 2, 3: 2, 4: 3}","{1: 2, 4: 4, 5: 5}"
